Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Condition
130,2,1,3,3,3,3,2,3,3,3,3,3,3,Extremely Severe
131,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
132,0,0,0,0,0,0,0,1,1,0,0,0,0,Normal
133,2,2,2,3,3,2,3,3,3,3,3,3,3,Extremely Severe
134,1,1,1,3,1,1,2,2,3,2,1,1,2,Moderate
135,2,2,0,0,1,0,1,0,0,0,0,1,0,Normal
136,1,2,1,1,0,1,2,2,1,1,1,1,2,Mild
137,1,1,0,0,0,2,0,0,0,0,0,1,1,Normal
138,2,1,1,1,1,3,3,1,1,1,1,0,1,Mild
139,1,3,1,1,3,2,3,3,3,3,3,2,1,Severe
140,3,3,3,3,3,3,3,2,2,3,3,3,3,Extremely Severe
141,1,1,0,1,0,1,1,1,1,1,1,1,1,Normal
142,1,2,3,3,1,1,1,1,2,2,1,0,1,Moderate
143,3,2,2,2,2,1,3,2,1,1,1,2,1,Severe
144,1,0,1,3,0,3,0,1,1,1,2,1,0,Mild
145,3,3,3,0,3,3,3,3,2,3,2,2,2,Extremely Severe
146,1,1,0,2,1,2,2,0,1,1,1,1,1,Mild
147,0,1,2,1,1,1,1,1,2,2,1,2,0,Mild
148,3,1,2,2,2,1,1,2,2,1,1,2,2,Moderate
149,3,3,1,3,2,2,3,1,2,2,2,1,2,Severe
150,2,1,0,0,1,0,2,0,0,1,0,0,0,Normal
151,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
152,2,0,3,0,2,3,2,3,1,2,2,2,2,Moderate
153,2,2,3,3,3,3,3,3,3,3,3,3,3,Extremely Severe
154,2,1,1,0,2,2,2,2,2,2,2,2,2,Moderate
155,1,1,2,2,2,2,3,1,3,2,1,1,3,Severe
156,2,1,2,2,1,2,1,1,2,2,2,2,1,Moderate
157,0,1,0,2,0,2,2,2,2,3,2,1,1,Moderate
158,2,2,2,3,1,2,2,3,2,1,3,3,1,Severe
159,1,1,1,3,3,3,3,3,3,3,1,2,1,Severe
160,0,1,0,0,1,0,0,1,0,1,0,0,0,Normal
161,3,3,0,1,1,3,1,0,1,1,0,0,0,Mild
162,1,2,2,1,1,1,1,3,0,2,0,0,0,Mild
163,2,1,0,0,0,0,3,2,3,3,0,1,3,Moderate
164,3,2,3,3,0,3,3,0,2,0,2,2,3,Severe
165,1,2,2,2,1,2,1,2,1,2,2,1,1,Moderate
166,2,2,3,2,1,1,2,2,1,2,2,1,3,Severe
167,1,2,2,1,1,1,0,1,1,1,1,0,2,Mild
168,0,1,0,1,0,2,1,1,1,1,1,1,1,Normal
169,0,0,0,0,1,2,1,1,1,1,2,0,0,Normal
170,0,0,1,1,1,1,1,0,1,1,1,0,1,Normal
171,0,2,1,0,2,2,1,2,1,1,1,1,1,Mild
172,1,1,2,2,1,1,1,1,1,1,1,1,1,Mild
173,1,0,0,1,1,0,1,0,1,1,1,1,0,Normal
174,1,1,2,1,1,1,1,1,1,1,0,1,1,Normal
175,1,1,0,1,1,1,1,1,2,1,1,2,0,Normal
176,1,1,3,3,2,1,1,1,2,3,1,3,2,Severe
177,1,1,0,1,1,1,1,2,1,0,1,0,1,Normal
178,3,2,1,1,2,2,1,1,1,1,1,1,1,Moderate
179,1,1,2,2,2,2,1,1,1,3,3,3,1,Moderate
180,1,2,1,3,1,1,1,1,1,2,1,2,1,Moderate
181,0,0,1,1,2,1,0,0,1,1,1,1,1,Normal
182,2,2,1,2,1,0,3,2,1,1,2,1,0,Moderate
183,2,1,1,1,1,1,0,0,1,0,1,1,1,Normal
184,2,1,1,1,2,1,1,1,1,1,1,1,1,Mild
185,1,2,1,1,1,1,1,1,1,1,1,2,1,Mild
186,1,1,1,0,1,0,1,2,1,2,1,1,1,Normal
187,1,1,2,2,1,2,2,1,2,2,2,2,2,Moderate
188,1,0,1,1,2,1,1,2,3,3,3,2,2,Moderate
189,1,1,1,0,1,1,2,1,1,1,0,0,1,Normal
190,1,1,1,1,2,1,1,2,1,1,1,1,1,Mild
191,3,1,1,1,1,1,2,1,1,1,1,2,0,Mild
192,2,1,2,2,1,1,1,1,2,1,1,2,2,Moderate
193,2,1,1,1,1,1,1,2,1,1,1,1,1,Mild
194,3,1,2,1,2,1,2,1,2,1,1,2,1,Moderate
195,1,0,1,0,1,1,1,1,1,3,1,1,0,Normal
196,2,1,2,1,1,1,1,3,1,0,3,2,1,Moderate
197,3,2,1,1,2,2,1,1,0,0,0,2,3,Moderate
198,1,2,1,2,1,1,1,3,2,3,3,2,2,Moderate
199,2,0,2,1,1,1,1,1,2,1,2,1,1,Mild
200,1,1,1,1,1,2,1,1,3,1,3,1,0,Moderate
201,1,1,1,1,1,3,2,0,3,2,2,1,1,Moderate
202,0,0,1,0,0,1,1,3,0,3,3,0,0,Normal
203,3,0,0,0,0,2,1,0,1,3,0,1,0,Normal
204,2,1,1,0,1,1,3,1,1,1,1,1,0,Mild
205,3,1,1,3,1,2,2,3,1,3,2,1,1,Severe
206,2,1,0,1,1,1,1,0,1,1,0,0,2,Normal
207,2,1,3,0,2,1,1,0,0,0,2,3,0,Mild
208,1,2,2,0,0,1,2,0,1,0,0,0,3,Normal
209,2,2,2,1,2,0,1,2,1,0,3,0,0,Mild
210,1,2,1,1,3,2,1,2,3,3,2,0,3,Severe
211,0,0,0,0,0,0,1,2,1,0,1,3,3,Normal
212,1,0,3,0,1,2,3,1,2,3,1,3,2,Moderate
213,1,3,1,1,3,1,0,3,3,2,3,2,3,Severe
214,2,1,0,2,3,1,0,3,3,3,2,2,0,Moderate
215,0,1,3,3,3,3,3,0,2,2,3,1,3,Severe
216,0,1,3,0,2,3,2,3,0,3,1,1,0,Moderate
217,2,0,2,1,0,3,3,3,2,3,3,1,3,Severe
218,0,1,1,0,0,1,0,3,0,0,3,1,2,Normal
219,1,3,3,3,2,1,0,2,3,2,0,1,0,Moderate
220,3,3,3,0,0,0,0,0,2,3,3,3,1,Moderate
221,2,2,3,1,1,0,0,1,3,1,1,0,3,Moderate
